project,bug_id,classname,method_name,file_path
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,getLegendItems,source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java
Chart,2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,source/org/jfree/data/general/DatasetUtilities.java
Chart,2,org.jfree.data.general.DatasetUtilities,iterateRangeBounds,source/org/jfree/data/general/DatasetUtilities.java
Chart,3,org.jfree.data.time.TimeSeries,createCopy,source/org/jfree/data/time/TimeSeries.java
Chart,4,org.jfree.chart.plot.XYPlot,getDataRange,source/org/jfree/chart/plot/XYPlot.java
Chart,5,org.jfree.data.xy.XYSeries,addOrUpdate,source/org/jfree/data/xy/XYSeries.java
Chart,6,org.jfree.chart.util.ShapeList,equals,source/org/jfree/chart/util/ShapeList.java
Chart,7,org.jfree.data.time.TimePeriodValues,updateBounds,source/org/jfree/data/time/TimePeriodValues.java
Chart,8,org.jfree.data.time.Week,Week,source/org/jfree/data/time/Week.java
Chart,9,org.jfree.data.time.TimeSeries,createCopy,source/org/jfree/data/time/TimeSeries.java
Chart,10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,generateToolTipFragment,source/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java
Chart,11,org.jfree.chart.util.ShapeUtilities,equal,source/org/jfree/chart/util/ShapeUtilities.java
Chart,12,org.jfree.chart.plot.MultiplePiePlot,MultiplePiePlot,source/org/jfree/chart/plot/MultiplePiePlot.java
Chart,13,org.jfree.chart.block.BorderArrangement,arrangeFF,source/org/jfree/chart/block/BorderArrangement.java
Chart,14,org.jfree.chart.plot.CategoryPlot,removeDomainMarker,source/org/jfree/chart/plot/CategoryPlot.java
Chart,14,org.jfree.chart.plot.CategoryPlot,removeRangeMarker,source/org/jfree/chart/plot/CategoryPlot.java
Chart,14,org.jfree.chart.plot.XYPlot,removeDomainMarker,source/org/jfree/chart/plot/XYPlot.java
Chart,14,org.jfree.chart.plot.XYPlot,removeRangeMarker,source/org/jfree/chart/plot/XYPlot.java
Chart,15,org.jfree.chart.plot.PiePlot,getMaximumExplodePercent,source/org/jfree/chart/plot/PiePlot.java
Chart,15,org.jfree.chart.plot.PiePlot,initialise,source/org/jfree/chart/plot/PiePlot.java
Chart,16,org.jfree.data.category.DefaultIntervalCategoryDataset,DefaultIntervalCategoryDataset,source/org/jfree/data/category/DefaultIntervalCategoryDataset.java
Chart,16,org.jfree.data.category.DefaultIntervalCategoryDataset,setCategoryKeys,source/org/jfree/data/category/DefaultIntervalCategoryDataset.java
Chart,17,org.jfree.data.time.TimeSeries,clone,source/org/jfree/data/time/TimeSeries.java
Chart,18,org.jfree.data.DefaultKeyedValues,removeValue,source/org/jfree/data/DefaultKeyedValues.java
Chart,18,org.jfree.data.DefaultKeyedValues2D,removeColumn,source/org/jfree/data/DefaultKeyedValues2D.java
Chart,19,org.jfree.chart.plot.CategoryPlot,getDomainAxisIndex,source/org/jfree/chart/plot/CategoryPlot.java
Chart,19,org.jfree.chart.plot.CategoryPlot,getRangeAxisIndex,source/org/jfree/chart/plot/CategoryPlot.java
Chart,20,org.jfree.chart.plot.ValueMarker,ValueMarker,source/org/jfree/chart/plot/ValueMarker.java
Chart,21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,add,source/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java
Chart,21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,updateBounds,source/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java
Chart,22,org.jfree.data.KeyedObjects2D,getObject,source/org/jfree/data/KeyedObjects2D.java
Chart,22,org.jfree.data.KeyedObjects2D,removeObject,source/org/jfree/data/KeyedObjects2D.java
Chart,22,org.jfree.data.KeyedObjects2D,removeRow,source/org/jfree/data/KeyedObjects2D.java
Chart,22,org.jfree.data.KeyedObjects2D,equals,source/org/jfree/data/KeyedObjects2D.java
Chart,23,org.jfree.chart.renderer.category.MinMaxCategoryRenderer,equals,source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java
Chart,24,org.jfree.chart.renderer.GrayPaintScale,getPaint,source/org/jfree/chart/renderer/GrayPaintScale.java
Chart,25,org.jfree.chart.renderer.category.StatisticalBarRenderer,drawHorizontalItem,source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java
Chart,25,org.jfree.chart.renderer.category.StatisticalBarRenderer,drawVerticalItem,source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java
Chart,26,org.jfree.chart.axis.Axis,drawLabel,source/org/jfree/chart/axis/Axis.java
Closure,1,com.google.javascript.jscomp.RemoveUnusedVars,removeUnreferencedFunctionArgs,src/com/google/javascript/jscomp/RemoveUnusedVars.java
Closure,2,com.google.javascript.jscomp.TypeCheck,checkInterfaceConflictProperties,src/com/google/javascript/jscomp/TypeCheck.java
Closure,3,com.google.javascript.jscomp.FlowSensitiveInlineVariables,enterScope,src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java
Closure,3,com.google.javascript.jscomp.FlowSensitiveInlineVariables,canInline,src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java
Closure,3,com.google.javascript.jscomp.FlowSensitiveInlineVariables,apply,src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java
Closure,4,com.google.javascript.rhino.jstype.NamedType,resolveInternal,src/com/google/javascript/rhino/jstype/NamedType.java
Closure,5,com.google.javascript.jscomp.InlineObjectLiterals,isInlinableObject,src/com/google/javascript/jscomp/InlineObjectLiterals.java
Closure,6,com.google.javascript.jscomp.TypeValidator,expectCanAssignToPropertyOf,src/com/google/javascript/jscomp/TypeValidator.java
Closure,6,com.google.javascript.jscomp.TypeValidator,expectCanAssignTo,src/com/google/javascript/jscomp/TypeValidator.java
Closure,7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter,caseObjectType,src/com/google/javascript/jscomp/type/ChainableReverseAbstractInterpreter.java
Closure,8,com.google.javascript.jscomp.CollapseVariableDeclarations,isNamedParameter,src/com/google/javascript/jscomp/CollapseVariableDeclarations.java
Closure,9,com.google.javascript.jscomp.ProcessCommonJSModules,normalizeSourceName,src/com/google/javascript/jscomp/ProcessCommonJSModules.java
Closure,9,com.google.javascript.jscomp.ProcessCommonJSModules,visitScript,src/com/google/javascript/jscomp/ProcessCommonJSModules.java
Closure,10,com.google.javascript.jscomp.NodeUtil,mayBeString,src/com/google/javascript/jscomp/NodeUtil.java
Closure,11,com.google.javascript.jscomp.TypeCheck,visitGetProp,src/com/google/javascript/jscomp/TypeCheck.java
Closure,12,com.google.javascript.jscomp.MaybeReachingVariableUse,hasExceptionHandler,src/com/google/javascript/jscomp/MaybeReachingVariableUse.java
